SMILES,Core,Arm,Target_PG,Point_Group,Geometry,Energy_kcal_mol,Source,Plane_RMSD,Plane_MaxDist,Package_Index,Molecule_ID,XYZ_RelPath,Num_Atoms,Num_Heavy_Atoms,Num_Bonds,Net_Formal_Charge,Num_Radical_Electrons,Split_IID,Split_Core_OOD
O=Cc1ccc(-c2ccc(-c3ccc(/N=N/c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,azobenzene_C2,CHO_phph,C2,D2,nonplanar,158.9620089849289,original_augmented,0.9831967392369504,2.3142703845449817,0,cof_000000,cof_symmetry_pipeline/output/xyz/aug_000006.xyz,68,42,73,0,0,train,test
NC(=O)c1ccc(/N=N/c2ccc(C(N)=O)cc2)cc1,azobenzene_C2,CONH2_direct,C2,D2,nonplanar,15.322607064826537,original_augmented,0.7761576233278263,1.3588530430882892,1,cof_000001,cof_symmetry_pipeline/output/xyz/mol_000033.xyz,32,20,33,0,0,train,test
[N-]=[N+]=Nc1ccc(-c2ccc(/N=N/c3ccc(-c4ccc(N=[N+]=[N-])cc4)cc3)cc2)cc1,azobenzene_C2,N3_ph,C2,D2,nonplanar,69.26263214192974,original_augmented,0.8764599384621601,2.109251344205168,2,cof_000002,cof_symmetry_pipeline/output/xyz/mol_000895.xyz,48,32,51,0,0,test,test
Sc1ccc(/N=N/c2ccc(S)cc2)cc1,azobenzene_C2,SH_direct,C2,C2,nonplanar,31.104968534848,original_augmented,0.7143060082310025,1.3563327528167173,3,cof_000003,cof_symmetry_pipeline/output/xyz/mol_000498.xyz,26,16,27,0,0,train,test
O=Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=O)cc6)cc5)cc4)cc3)cc2)cc1,biphenyl_C2,CHO_phph,C2,D2,nonplanar,158.57793637200206,original_augmented,0.9831898170741772,1.9745333227912736,4,cof_000004,cof_symmetry_pipeline/output/xyz/mol_001770_s0883.xyz,66,40,71,0,0,test,test
Nc1ccc(OC(=O)c2ccc(-c3ccc(C(=O)Oc4ccc(N)cc4)cc3)cc2)cc1,biphenyl_ester_C2,NH2_ph,C2,D2,nonplanar,113.3734529910176,original_augmented,0.978274860009464,2.367894632864468,5,cof_000005,cof_symmetry_pipeline/output/xyz/mol_000214.xyz,52,32,55,0,0,train,val
O=C(OP(=O)(O)O)c1ccc(-c2ccc(C(=O)OP(=O)(O)O)cc2)cc1,biphenyl_ester_C2,PO3H2_direct,C2,C2,nonplanar,-331.11815080206,original_augmented,0.7954918782550385,1.3456517779442625,6,cof_000006,cof_symmetry_pipeline/output/xyz/mol_000746.xyz,38,26,39,0,0,train,val
C#Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C#C)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,CCH_phph,C2,D2,nonplanar,157.78663638540607,original_augmented,0.6873721124546799,1.7059791918297136,7,cof_000007,cof_symmetry_pipeline/output/xyz/mol_003142_s1009.xyz,64,40,69,0,0,test,val
FC(F)(F)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(F)(F)F)cc4)cn3)nc2)cc1,bipyridine_C2,CF3_ph,C2,D2,nonplanar,167.94023186672547,original_augmented,0.8714484047815113,1.7024282308585588,8,cof_000008,cof_symmetry_pipeline/output/xyz/mol_000308.xyz,46,32,49,0,0,train,val
O=C(O)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C(=O)O)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,COOH_phph,C2,D2,nonplanar,148.88034241152866,original_augmented,0.9742448803493684,2.258173835218611,9,cof_000009,cof_symmetry_pipeline/output/xyz/aug_000048.xyz,66,42,71,0,0,train,val
Nc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,NH2_phph,C2,D2,nonplanar,138.68488109010684,original_augmented,0.65347049433956,1.553903974561249,10,cof_000010,cof_symmetry_pipeline/output/xyz/mol_003110_s1297.xyz,64,38,69,0,0,train,val
CS(=O)(=O)Nc1ccc(-c2ccc(NS(C)(=O)=O)cn2)nc1,bipyridine_C2,NHSO2_direct,C2,C2,nonplanar,-23.553363314473,original_augmented,1.2154970821329905,2.6959890659337304,11,cof_000011,cof_symmetry_pipeline/output/xyz/mol_000335.xyz,36,22,37,0,0,train,val
CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cn2)nc1,bipyridine_C2,NHacetyl_direct,C2,C2,planar,45.394621123953584,original_augmented,0.3074825899836907,1.0307353583276324,12,cof_000012,cof_symmetry_pipeline/output/xyz/mol_000333.xyz,34,20,35,0,0,train,val
O=[N+]([O-])c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc([N+](=O)[O-])cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,NO2_phph,C2,D2,nonplanar,225.4627589203505,original_augmented,0.6865485845591339,1.6995398511258504,13,cof_000013,cof_symmetry_pipeline/output/xyz/mol_000347.xyz,64,42,69,0,0,train,val
Oc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(O)cc6)cc5)cn4)nc3)cc2)cc1,bipyridine_C2,OH_phph,C2,D2,nonplanar,136.7271861805344,original_augmented,0.6855735149138926,1.092990776923736,14,cof_000014,cof_symmetry_pipeline/output/xyz/mol_000348.xyz,62,38,67,0,0,train,val
N#Cc1ccc(-c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(-c5ccc(C#N)cc5)cc4)cc3)cc2)cc1,bis_benzamide_C2,CN_phph,C2,C2,nonplanar,123.54165620515558,original_augmented,0.6215604726215654,1.4421398418401266,15,cof_000015,cof_symmetry_pipeline/output/xyz/mol_000416.xyz,62,40,66,0,0,train,val
O=C(Nc1ccc(NC(=O)c2ccc(O)cc2)cc1)c1ccc(O)cc1,bis_benzamide_C2,OH_ph,C2,C2,nonplanar,26.396661626705683,original_augmented,0.7115165239934469,1.491714959008668,16,cof_000016,cof_symmetry_pipeline/output/xyz/mol_000366.xyz,42,26,44,0,0,test,val
NS(=O)(=O)C(=O)Nc1ccc(NC(=O)S(N)(=O)=O)cc1,bis_benzamide_C2,SO2NH2_direct,C2,C2,nonplanar,61.873167789802864,original_augmented,0.6314670888516887,1.39327285647518,17,cof_000017,cof_symmetry_pipeline/output/xyz/mol_000388.xyz,30,20,30,0,0,train,val
C#Cc1ccc(-c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(-c5ccc(C#C)cc5)cc4)cc3)cc2)cc1,bis_benzoate_C2,CCH_phph,C2,D2,nonplanar,155.8864434496581,original_augmented,0.9156939734824904,2.1673908089350795,18,cof_000018,cof_symmetry_pipeline/output/xyz/mol_000428.xyz,62,40,66,0,0,train,train
O=Cc1ccc(-c2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(-c5ccc(C=O)cc5)cc4)cc3)cc2)cc1,bis_benzoate_C2,CHO_phph,C2,D2,nonplanar,186.7675752256937,original_augmented,0.902408273602058,2.204101736622368,19,cof_000019,cof_symmetry_pipeline/output/xyz/mol_000421.xyz,62,40,66,0,0,train,train
O=CC#CC#Cc1ccc2cc3cc(C#CC#CC=O)ccc3cc2c1,bis_ethynyl_anthracene_C2,CCCHO_direct,C2,C2h,planar,37.15247792125124,original_augmented,0.0636566792685781,0.2725935652027745,20,cof_000020,cof_symmetry_pipeline/output/xyz/mol_000529.xyz,36,26,38,0,0,train,train
O=C(O)C#CC#Cc1ccc2cc3cc(C#CC#CC(=O)O)ccc3cc2c1,bis_ethynyl_anthracene_C2,CCCOOH_direct,C2,C2,planar,-27.25455480792033,original_augmented,0.1036501557924277,0.3224108398087768,21,cof_000021,cof_symmetry_pipeline/output/xyz/mol_000532.xyz,38,28,40,0,0,train,train
Clc1ccc(C#Cc2ccc3cc4cc(C#Cc5ccc(Cl)cc5)ccc4cc3c2)cc1,bis_ethynyl_anthracene_C2,Cl_ph,C2,D2h,nonplanar,65.01351334985767,original_augmented,0.9998595489495796,2.1711479499182995,22,cof_000022,cof_symmetry_pipeline/output/xyz/mol_000520.xyz,48,32,52,0,0,train,train
COC(=O)C#CC#Cc1ccc2cc(C#CC#CC(=O)OC)ccc2c1,bis_ethynyl_naphthalene_C2,CCCOOMe_direct,C2,C2,planar,1.641342828499277,original_augmented,0.3146153256510514,0.9853108194684204,23,cof_000023,cof_symmetry_pipeline/output/xyz/mol_000608.xyz,38,26,39,0,0,train,train
[N-]=[N+]=NC#Cc1ccc2cc(C#CN=[N+]=[N-])ccc2c1,bis_ethynyl_naphthalene_C2,N3_direct,C2,C2,planar,19.50002999423885,original_augmented,0.302659751412109,1.0461171836973429,24,cof_000024,cof_symmetry_pipeline/output/xyz/mol_000578.xyz,26,20,27,0,0,train,train
O=C(O)C#Cc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(C#CC(=O)O)cc3)cc2)cc1,bis_phenyl_ester_C2,CCCOOH_direct,C2,C2,nonplanar,50.9015428525394,original_augmented,0.9089366694489954,2.1783071603480977,25,cof_000025,cof_symmetry_pipeline/output/xyz/mol_000651.xyz,48,34,50,0,0,train,val
N#CNc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(NC#N)cc3)cc2)cc1,bis_phenyl_ester_C2,NHCN_direct,C2,C2,nonplanar,55.45059572979029,original_augmented,0.860048598187535,2.1643807923749185,26,cof_000026,cof_symmetry_pipeline/output/xyz/mol_000663.xyz,44,30,46,0,0,train,val
NS(=O)(=O)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(S(N)(=O)=O)cc3)cc2)cc1,bis_phenyl_ester_C2,SO2NH2_direct,C2,C2,nonplanar,-36.23011173443499,original_augmented,1.074717273900462,2.2072238061972724,27,cof_000027,cof_symmetry_pipeline/output/xyz/mol_000647.xyz,48,32,50,0,0,train,val
C[Si](C)(C)c1ccc(C(=O)Oc2ccc(OC(=O)c3ccc([Si](C)(C)C)cc3)cc2)cc1,bis_phenyl_ester_C2,SiMe3_direct,C2,C2,nonplanar,125.80913581880628,original_augmented,1.197603180680183,2.4896695096411565,28,cof_000028,cof_symmetry_pipeline/output/xyz/mol_000669.xyz,62,32,64,0,0,train,val
C=Cc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(C=C)cc3)cc2)cc1,bis_phenyl_ester_C2,vinyl_direct,C2,C2,nonplanar,122.12796253021456,original_augmented,0.7879059289743225,2.225553871940337,29,cof_000029,cof_symmetry_pipeline/output/xyz/mol_000634.xyz,46,28,48,0,0,train,val
Nc1ccc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5ccc(N)cc5)cc4)cc3)cc2)cc1,bis_phenylethynyl_benzene_C2,NH2_ph,C2,D2,nonplanar,70.39443397553819,original_augmented,0.7177171862164758,1.684318500817953,30,cof_000030,cof_symmetry_pipeline/output/xyz/mol_000682.xyz,60,36,64,0,0,train,train
CC(=O)Nc1ccc(C#Cc2ccc(C#Cc3ccc(NC(C)=O)cc3)cc2)cc1,bis_phenylethynyl_benzene_C2,NHacetyl_direct,C2,D2,nonplanar,10.53024321745549,original_augmented,0.7650967559301728,2.174496624963072,31,cof_000031,cof_symmetry_pipeline/output/xyz/aug_000143.xyz,50,30,52,0,0,train,train
[N-]=[N+]=Nc1ccc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5ccc(N=[N+]=[N-])cc5)cc4)s3)cc2)cc1,bis_phenylethynyl_thiophene_C2,N3_ph,C2,C2,nonplanar,64.91654862989041,original_augmented,1.18079266086613,2.0536913319847017,32,cof_000032,cof_symmetry_pipeline/output/xyz/mol_000806.xyz,57,39,61,0,0,train,test
O=S(=O)(Cl)c1ccc(C#Cc2ccc(C#Cc3ccc(S(=O)(=O)Cl)cc3)s2)cc1,bis_phenylethynyl_thiophene_C2,SO2Cl_direct,C2,C2,nonplanar,99.3047718902638,original_augmented,1.1665086430936835,2.094706207271385,33,cof_000033,cof_symmetry_pipeline/output/xyz/mol_000812.xyz,39,29,41,0,0,train,test
NC(=O)S(=O)(=O)Nc1ccc(NS(=O)(=O)C(N)=O)cc1,bis_sulfonamide_C2,CONH2_direct,C2,C2,nonplanar,123.48183796341569,original_augmented,1.2075584850664025,2.2753843070475286,34,cof_000034,cof_symmetry_pipeline/output/xyz/mol_000851.xyz,30,20,30,0,0,train,train
COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2)cc1,bis_sulfonamide_C2,OMe_ph,C2,C2,nonplanar,-22.31373677538771,original_augmented,1.287338071365122,2.255546834799139,35,cof_000035,cof_symmetry_pipeline/output/xyz/mol_000853.xyz,50,30,52,0,0,train,train
